Azimuth,Vertical_dB,Horizontal_dB
-180,-5.99169405609261,-13.7041970032711
-179.9,-5.99169405609261,-13.7041970032711
-179.8,-5.99169405609261,-13.7041970032711
-179.7,-5.99169405609261,-13.7041970032711
-179.6,-5.99169405609261,-13.7041970032711
-179.5,-5.99169405609261,-13.7041970032711
-179.4,-5.99169405609261,-13.7041970032711
-179.3,-5.99169405609261,-13.7041970032711
-179.2,-6.01498350009707,-13.7041970032711
-179.1,-6.02352168407724,-13.7041970032711
-179,-6.02352168407724,-13.7041970032711
-178.9,-6.02352168407724,-13.7041970032711
-178.8,-6.02352168407724,-13.7041970032711
-178.7,-6.02352168407724,-13.7041970032711
-178.6,-6.02352168407724,-13.7041970032711
-178.5,-6.02413332062815,-13.7057943603895
-178.4,-6.03184988216096,-13.7243516458214
-178.3,-6.04540628304776,-13.7516244790711
-178.2,-6.06096604577396,-13.7737533734132
-178.1,-6.07469269282498,-13.7925997063722
-178,-6.08274974668623,-13.8141242270515
-177.9,-6.08352696000844,-13.8461436044347
-177.8,-6.08352696000844,-13.8931759002046
-177.7,-6.08352696000844,-13.9364495829847
-177.6,-6.08352696000844,-13.9628440267832
-177.5,-6.08352696000844,-13.9827901756677
-177.4,-6.08352696000844,-14.0019374433269
-177.3,-6.09730847334842,-14.0215383546952
-177.2,-6.12744396069047,-14.0408679704271
-177.1,-6.14353223593965,-14.0649890214034
-177,-6.14353223593965,-14.1046742597262
-176.9,-6.14353223593965,-14.152636892948
-176.8,-6.14391521276888,-14.1886973911783
-176.7,-6.15934145930646,-14.2115029717616
-176.6,-6.18619135543683,-14.2305006691472
-176.5,-6.2098538567057,-14.2505608314868
-176.4,-6.23081460377756,-14.2715215785586
-176.3,-6.25177535084942,-14.2924823256305
-176.2,-6.2739287971649,-14.3130455062878
-176.1,-6.30123516727867,-14.331891045679
-176,-6.32110877462597,-14.3532141726591
-175.9,-6.32354806373325,-14.3871396112719
-175.8,-6.32354806373325,-14.4422144240399
-175.7,-6.32354806373325,-14.4816142721479
-175.6,-6.33286312320879,-14.4842655903767
-175.5,-6.36229433640502,-14.4842655903767
-175.4,-6.38307862814424,-14.4842655903767
-175.3,-6.38355333966445,-14.5022984405752
-175.2,-6.38355333966445,-14.5521344548649
-175.1,-6.38355333966445,-14.6037547545346
-175,-6.39482895836568,-14.6487970699328
-174.9,-6.42029375057653,-14.6934950252685
-174.8,-6.44649360326669,-14.7277020942119
-174.7,-6.47090581730799,-14.7507612369497
-174.6,-6.4967718360838,-14.7698118963584
-174.5,-6.52386477071928,-14.7896339837919
-174.4,-6.55195773233961,-14.8085733021919
-174.3,-6.58082383206996,-14.8290875075891
-174.2,-6.61023618103551,-14.8575775263126
-174.1,-6.6399678903614,-14.9027379682241
-174,-6.66979207117281,-14.9485530000383
-173.9,-6.70112151834697,-14.9780315663257
-173.8,-6.73995447751425,-14.9988206566985
-173.7,-6.78165069596603,-15.0177075651226
-173.6,-6.82013826834456,-15.0384383243643
-173.5,-6.84934528929213,-15.0593990714361
-173.4,-6.863199853451,-15.080359818508
-173.3,-6.86359554711407,-15.0995943241184
-173.2,-6.86359554711407,-15.1178699933223
-173.1,-6.86359554711407,-15.1427205957831
-173,-6.8745853086913,-15.1972330046634
-172.9,-6.90026928125045,-15.2739108931483
-172.8,-6.92537885167826,-15.3269622658119
-172.7,-6.94457124919157,-15.3496944000635
-172.6,-6.96443583311036,-15.3667850955299
-172.5,-6.99030212302861,-15.3910407533969
-172.4,-7.02926513659363,-15.4300037669619
-172.3,-7.07524211615941,-15.4759807465277
-172.2,-7.11926884105975,-15.520007471428
-172.1,-7.16537672480489,-15.5661153551731
-172,-7.20733183389831,-15.6080704642666
-171.9,-7.23642610095257,-15.6371647313208
-171.8,-7.25739402009745,-15.6581326504657
-171.7,-7.27625915716234,-15.6769977875306
-171.6,-7.29617058016638,-15.6976743695262
-171.5,-7.31509875411469,-15.7186351165981
-171.4,-7.33750751630922,-15.7395958636699
-171.3,-7.37024434622095,-15.7594944470567
-171.2,-7.41432469881262,-15.7785974819384
-171.1,-7.45980221372353,-15.8018832055264
-171,-7.5045161642549,-15.8365796646325
-170.9,-7.54961062745276,-15.8814575183317
-170.8,-7.58494111742988,-15.9263493877046
-170.7,-7.60684050808404,-15.9716518346645
-170.6,-7.62480180142016,-16.0160111090764
-170.5,-7.64927096480112,-16.0493000984795
-170.4,-7.69160768556356,-16.070053232242
-170.3,-7.73901219912132,-16.0882724696068
-170.2,-7.77183501519179,-16.11477352134
-170.1,-7.79059943134578,-16.1590172889664
-170,-7.80917204561967,-16.2055204475474
-169.9,-7.84310379401154,-16.2362815199073
-169.8,-7.90892206101577,-16.2574361344962
-169.7,-7.98046535019348,-16.2762873668736
-169.6,-8.03178992853854,-16.296905138757
-169.5,-8.07320124286494,-16.3178658858288
-169.4,-8.11269101908979,-16.3388266329007
-169.3,-8.15637268106509,-16.3588124460033
-169.2,-8.20212918680216,-16.3778556872785
-169.1,-8.23992151538935,-16.4008810171286
-169,-8.26296871493104,-16.4375857434904
-168.9,-8.2800446603877,-16.4856030293796
-168.8,-8.30395067182229,-16.5246466099289
-168.7,-8.35664316917074,-16.5485136391611
-168.6,-8.42959416821847,-16.5677703846698
-168.5,-8.49088693474764,-16.5874302575147
-168.4,-8.53517318639699,-16.606520595312
-168.3,-8.57476961813034,-16.626584019712
-168.2,-8.6155592487074,-16.6534153999685
