Azimuth,Vertical_dB,Horizontal_dB
-180,-11.0846235427478,-0.664201958301306
-179.9,-11.0846235427478,-0.664201958301306
-179.8,-11.0846235427478,-0.664201958301306
-179.7,-11.0846235427478,-0.664201958301306
-179.6,-11.0846235427478,-0.664201958301306
-179.5,-11.0846235427478,-0.664201958301306
-179.4,-11.0846235427478,-0.664201958301306
-179.3,-11.0846235427478,-0.664201958301306
-179.2,-11.0715587326965,-0.664201958301306
-179.1,-11.066769019732,-0.664201958301306
-179,-11.066769019732,-0.647433180353743
-178.9,-11.066769019732,-0.635253033847645
-178.8,-11.0719558723468,-0.63170518096444
-178.7,-11.2114579697662,-0.63170518096444
-178.6,-11.4277648922728,-0.63170518096444
-178.5,-11.5755558865273,-0.633497337731457
-178.4,-11.6617802377792,-0.654317706752604
-178.3,-11.7475698692761,-0.684916495276635
-178.2,-11.8854741004556,-0.711827301174525
-178.1,-12.1142671842818,-0.742461045391132
-178,-12.3455485937611,-0.764080401671107
-177.9,-12.4954741188141,-0.766351165980795
-177.8,-12.6026668189871,-0.766351165980795
-177.7,-12.7157702037744,-0.766351165980795
-177.6,-12.8827714752978,-0.777855894459107
-177.5,-13.0941628240456,-0.811144544613762
-177.4,-13.2738764004885,-0.833381389321796
-177.3,-13.3913340607297,-0.833674158488973
-177.2,-13.4863173873416,-0.833674158488973
-177.1,-13.5593945641926,-0.833718265664242
-177,-13.6126366803589,-0.884655339956483
-176.9,-13.6557588331956,-0.979257706668476
-176.8,-13.7002223609691,-1.04114701884672
-176.7,-13.7515207597071,-1.06563641076794
-176.6,-13.8004105834817,-1.08492170137488
-176.5,-13.8359894202721,-1.11291227699934
-176.4,-13.8606499788532,-1.15304536055707
-176.3,-13.8818260007045,-1.20413153747277
-176.2,-13.9046491505751,-1.2707927149449
-176.1,-13.9281660863142,-1.3730508922649
-176,-13.9516830220534,-1.47497739696701
-175.9,-13.9773760745628,-1.53974998363349
-175.8,-14.0078872996576,-1.58601505195193
-175.7,-14.0276961600996,-1.62846193668091
-175.6,-14.0289806900918,-1.67509021842355
-175.5,-14.0289806900918,-1.72212408990186
-175.4,-14.0289806900918,-1.76915796138018
-175.3,-14.0289806900918,-1.81261263021883
-175.2,-14.0289806900918,-1.85470006731238
-175.1,-14.0289806900918,-1.91001210394127
-175,-13.9892962582141,-2.00561755276691
-174.9,-13.8847357886318,-2.13519503641707
-174.8,-13.7367488730697,-2.26229304831706
-174.7,-13.3515087659251,-2.38761227375471
-174.6,-12.8320620224243,-2.50925940949409
-174.5,-12.4826332760281,-2.60616080478591
-174.4,-12.2779716994419,-2.67693941983581
-174.3,-12.1103797013081,-2.74164322244081
-174.2,-11.9420539340897,-2.82028013608393
-174.1,-11.7877055418139,-2.9174626859531
-174,-11.6255259905042,-3.0152747369134
-173.9,-11.4213390968341,-3.09445722738101
-173.8,-11.1677150330462,-3.15628463164993
-173.7,-10.8892489205053,-3.22740073064816
-173.6,-10.5742991061386,-3.35727031601457
-173.5,-10.2019634411191,-3.56402949920932
-173.4,-9.9433731235925,-3.717049426488
-173.3,-9.87568189671721,-3.7518875348282
-173.2,-9.84380246837004,-3.7675471039833
-173.1,-9.79181717599316,-3.79375238170645
-173,-9.52457285312962,-3.94191153174948
-172.9,-9.06744344036893,-4.20909347710006
-172.8,-8.76545696803128,-4.41266626038684
-172.7,-8.66489932875643,-4.50875029385372
-172.6,-8.59262488494007,-4.58691723712475
-172.5,-8.469108480653,-4.70482070619269
-172.4,-8.15968547759563,-4.92605286551198
-172.3,-7.81908694066235,-5.19273395068165
-172.2,-7.67579883576287,-5.41824678091352
-172.1,-7.63575627755004,-5.6116281509209
-172,-7.59895034770717,-5.79347663638708
-171.9,-7.4713204479388,-5.97314957489111
-171.8,-7.08665436119256,-6.16366904835093
-171.7,-6.73872242705188,-6.36058143625085
-171.6,-6.67003088638093,-6.55699600466896
-171.5,-6.65333070853255,-6.74602201968356
-171.4,-6.63188515854763,-6.92076874737284
-171.3,-6.54038983638175,-7.07434545381504
-171.2,-6.3447598424655,-7.19986140508839
-171.1,-6.16366219737299,-7.29042586727106
-171,-6.05315567123301,-7.34273313446159
-170.9,-5.96146421143602,-7.3796174246441
-170.8,-5.87916925517539,-7.43491060178399
-170.7,-5.80482591947002,-7.58104717689907
-170.6,-5.73684359075806,-7.78045958757798
-170.5,-5.66816438007891,-7.91982874564319
-170.4,-5.60248215163354,-7.99083928531297
-170.3,-5.53383707984698,-8.05082526407259
-170.2,-5.44772052536696,-8.13835320104961
-170.1,-5.32525057623498,-8.27713506750962
-170,-5.19802764003391,-8.4327051681032
-169.9,-5.10493820256454,-8.56582865583343
-169.8,-5.03695004968654,-8.68370993893444
-169.7,-4.97105790699401,-8.79806720047023
-169.6,-4.88506320899102,-8.9228167627134
-169.5,-4.7771651269804,-9.06356786468143
-169.4,-4.68685779120024,-9.16751909999619
-169.3,-4.63612780545011,-9.20859751637244
-169.2,-4.59353756950833,-9.2364417241977
-169.1,-4.55615502660602,-9.24886512953214
-169,-4.52321118896941,-9.24904822201119
-168.9,-4.49393706882477,-9.24904822201119
-168.8,-4.46756367839835,-9.24904822201119
-168.7,-4.4433220299164,-9.24904822201119
-168.6,-4.42044313560518,-9.24904822201119
-168.5,-4.39815800769095,-9.24904822201119
-168.4,-4.37569765839996,-9.24904822201119
-168.3,-4.35229309995846,-9.24904822201119
-168.2,-4.32737594149103,-9.24810224350734
-168.1,-4.30352787977758,-9.23182594796318
-168,-4.2806181837626,-9.20193922963426
-167.9,-4.25606239129928,-9.16108888204427
-167.8,-4.22543456980799,-9.08183284214988
-167.7,-4.20280835022365,-9.00193714792093
-167.6,-4.19982378389786,-8.96311194261847
-167.5,-4.19982378389786,-8.94237341651331
-167.4,-4.19982378389786,-8.92121240266867
-167.3,-4.19982378389786,-8.88725575759655
-167.2,-4.19982378389786,-8.84105965734649
-167.1,-4.19982378389786,-8.78730458019504
-167,-4.20951746943924,-8.72508280735198
-166.9,-4.23728252422745,-8.65198312870508
-166.8,-4.26638611493793,-8.57808032850482
-166.7,-4.28991136435581,-8.5075245330801
-166.6,-4.31342830009497,-8.43697372586262
-166.5,-4.33703291185658,-8.36637031303168
-166.4,-4.36662297896636,-8.29217562699183
-166.3,-4.39361296966077,-8.21954098680121
-166.2,-4.40179276142239,-8.1587395071861
-166.1,-4.40179276142239,-8.11256711413655
-166,-4.40179276142239,-8.06899598204742
-165.9,-4.40400519091422,-8.01293082818121
-165.8,-4.42553338367701,-7.93296250722069
-165.7,-4.45616480525625,-7.85852186580104
-165.6,-4.48127466497837,-7.81992436021851
