Azimuth,Vertical_dB,Horizontal_dB
-180,-11.0237654320988,-29.9428937316384
-179.9,-11.0237654320988,-29.9428937316384
-179.8,-11.0237654320988,-29.9428937316384
-179.7,-11.0237654320988,-29.9428937316384
-179.6,-11.0237654320988,-29.9428937316384
-179.5,-11.0237654320988,-29.9428937316384
-179.4,-11.0237654320988,-29.9428937316384
-179.3,-11.0237654320988,-29.9428937316384
-179.2,-11.0237654320988,-29.930112939197
-179.1,-11.0237654320988,-29.9254273504274
-179,-11.0237654320988,-29.9254273504274
-178.9,-11.0237654320988,-29.9254273504274
-178.8,-11.0237654320988,-29.9249717721488
-178.7,-11.0237654320988,-29.9110933892938
-178.6,-11.0237654320988,-29.8828204663237
-178.5,-11.0237654320988,-29.8434815443186
-178.4,-11.0237654320988,-29.7632761558931
-178.3,-11.0237654320988,-29.6549074360428
-178.2,-11.0237654320988,-29.5374965615177
-178.1,-11.0237654320988,-29.391501149591
-178,-11.0237654320988,-29.2473829840809
-177.9,-11.0315795646401,-29.1384557827576
-177.8,-11.0629993872743,-29.0507646573625
-177.7,-11.0882312494984,-28.962080574192
-177.6,-11.0896248812916,-28.8543599657874
-177.5,-11.0896248812916,-28.7340207614027
-177.4,-11.0896248812916,-28.6196879730215
-177.3,-11.0896248812916,-28.5302380280079
-177.2,-11.0896248812916,-28.4503291877577
-177.1,-11.0896224731161,-28.3411100951198
-177,-11.0862350562294,-28.1253836234809
-176.9,-11.0769514697206,-27.835550765752
-176.8,-11.0625514854425,-27.5866091468089
-176.7,-11.0438148752475,-27.4163456460418
-176.6,-11.0215214109882,-27.2498021356674
-176.5,-10.9964508645171,-26.9967935940467
-176.4,-10.9693830076869,-26.5074203139356
-176.3,-10.94109761235,-25.9805021054933
-176.2,-10.9123744503591,-25.6754482846643
-176.1,-10.8839932935667,-25.5131038522241
-176,-10.8567339138253,-25.3486391120269
-175.9,-10.8313760829875,-25.0284349002714
-175.8,-10.8086995729059,-24.4628516963314
-175.7,-10.789484155433,-23.9544570782681
-175.6,-10.7745096024214,-23.7280936177519
-175.5,-10.7645556857236,-23.5958579456755
-175.4,-10.7604021771922,-23.4378613154433
-175.3,-10.7603276353276,-23.1162434544415
-175.2,-10.7603276353276,-22.6598315353748
-175.1,-10.7603276353276,-22.2888547037243
-175,-10.7107187845856,-22.0348162506295
-174.9,-10.5988276448331,-21.8299705725129
-174.8,-10.4837290885167,-21.7588556505223
-174.7,-10.3595681481373,-21.7588556505223
-174.6,-10.2342327791503,-21.7588556505223
-174.5,-10.1514667932292,-21.739319908502
-174.4,-10.1046030304522,-21.4013388905429
